datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
11/1/2019 12:00:00 PM,11/1/2019 8:00:00 AM,RFC,WEST,AEP,AEPKPT,766.157,True
11/1/2019 12:00:00 PM,11/1/2019 8:00:00 AM,RFC,WEST,AEP,AEPOPT,6875.647,True
11/1/2019 12:00:00 PM,11/1/2019 8:00:00 AM,RFC,WEST,AP,AP,5700.746,True
11/1/2019 12:00:00 PM,11/1/2019 8:00:00 AM,RFC,MIDATL,BC,BC,3243.302,True
11/1/2019 12:00:00 PM,11/1/2019 8:00:00 AM,RFC,WEST,CE,CE,11842.635,True
11/1/2019 12:00:00 PM,11/1/2019 8:00:00 AM,RFC,WEST,DAY,DAY,2167.000,False
11/1/2019 12:00:00 PM,11/1/2019 8:00:00 AM,RFC,WEST,DEOK,DEOK,3291.362,False
11/1/2019 12:00:00 PM,11/1/2019 8:00:00 AM,SERC,SOUTH,DOM,DOM,10591.799,False
11/1/2019 12:00:00 PM,11/1/2019 8:00:00 AM,RFC,MIDATL,DPL,DPLCO,1757.388,True
11/1/2019 12:00:00 PM,11/1/2019 8:00:00 AM,RFC,WEST,DUQ,DUQ,1520.893,True
11/1/2019 12:00:00 PM,11/1/2019 8:00:00 AM,RFC,MIDATL,DPL,EASTON,25.716,True
11/1/2019 12:00:00 PM,11/1/2019 8:00:00 AM,SERC,WEST,EKPC,EKPC,1858.070,True
11/1/2019 12:00:00 PM,11/1/2019 8:00:00 AM,RFC,MIDATL,JC,JC,2245.668,True
11/1/2019 12:00:00 PM,11/1/2019 8:00:00 AM,RFC,MIDATL,ME,ME,1777.744,True
11/1/2019 12:00:00 PM,11/1/2019 8:00:00 AM,RFC,WEST,ATSI,OE,7352.648,True
11/1/2019 12:00:00 PM,11/1/2019 8:00:00 AM,RFC,WEST,OVEC,OVEC,54.000,True
11/1/2019 12:00:00 PM,11/1/2019 8:00:00 AM,RFC,WEST,ATSI,PAPWR,621.526,True
11/1/2019 12:00:00 PM,11/1/2019 8:00:00 AM,RFC,MIDATL,PE,PE,3837.937,True
11/1/2019 12:00:00 PM,11/1/2019 8:00:00 AM,RFC,MIDATL,PEP,PEPCO,2854.497,True
11/1/2019 12:00:00 PM,11/1/2019 8:00:00 AM,RFC,MIDATL,PL,PLCO,4526.720,False
11/1/2019 12:00:00 PM,11/1/2019 8:00:00 AM,RFC,MIDATL,PN,PN,2188.245,True
11/1/2019 12:00:00 PM,11/1/2019 8:00:00 AM,RFC,MIDATL,PS,PS,4451.333,False
11/1/2019 12:00:00 PM,11/1/2019 8:00:00 AM,RFC,MIDATL,RECO,RECO,151.609,False
11/1/2019 12:00:00 PM,11/1/2019 8:00:00 AM,RFC,MIDATL,PEP,SMECO,340.804,True
11/1/2019 12:00:00 PM,11/1/2019 8:00:00 AM,RFC,MIDATL,PL,UGI,114.420,True
11/1/2019 12:00:00 PM,11/1/2019 8:00:00 AM,RFC,MIDATL,AE,VMEU,69.715,True
