datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,generated_at_ept,area,area_load_forecast,actual_load,dispatch_rate
12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/15/2019 8:00:40 AM,OVEC,,,20.34
12/14/2019 8:00:00 PM,12/14/2019 3:00:00 PM,12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,12/15/2019 8:00:40 AM,AEP,13972.00,14444.99,17.38
12/14/2019 8:00:00 PM,12/14/2019 3:00:00 PM,12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,12/15/2019 8:00:40 AM,AP,6003.00,6156.72,17.30
12/14/2019 8:00:00 PM,12/14/2019 3:00:00 PM,12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,12/15/2019 8:00:40 AM,ATSI,7497.00,7541.02,17.59
12/14/2019 8:00:00 PM,12/14/2019 3:00:00 PM,12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,12/15/2019 8:00:40 AM,ComEd,10425.00,10917.28,16.75
12/14/2019 8:00:00 PM,12/14/2019 3:00:00 PM,12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,12/15/2019 8:00:40 AM,DEOK,2873.00,2921.01,17.68
12/14/2019 8:00:00 PM,12/14/2019 3:00:00 PM,12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,12/15/2019 8:00:40 AM,Dayton,1837.00,1842.68,0.00
12/14/2019 8:00:00 PM,12/14/2019 3:00:00 PM,12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,12/15/2019 8:00:40 AM,Dom,10788.00,10569.96,17.80
12/14/2019 8:00:00 PM,12/14/2019 3:00:00 PM,12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,12/15/2019 8:00:40 AM,Duq,1477.00,1527.07,17.38
12/14/2019 8:00:00 PM,12/14/2019 3:00:00 PM,12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,12/15/2019 8:00:40 AM,EKPC,1520.00,1599.17,17.67
12/14/2019 8:00:00 PM,12/14/2019 3:00:00 PM,12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,12/15/2019 8:00:40 AM,MidAtl,29500.00,29427.90,15.94
12/14/2019 8:00:00 PM,12/14/2019 3:00:00 PM,12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,12/15/2019 8:00:40 AM,MidAtl - East,,,16.04
12/14/2019 8:00:00 PM,12/14/2019 3:00:00 PM,12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,12/15/2019 8:00:40 AM,MidAtl - West,,,16.39
12/14/2019 8:00:00 PM,12/14/2019 3:00:00 PM,12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,12/15/2019 8:00:40 AM,OVEC,,,17.27
12/14/2019 7:00:00 PM,12/14/2019 2:00:00 PM,12/14/2019 8:00:00 PM,12/14/2019 3:00:00 PM,12/15/2019 8:00:40 AM,AEP,14027.00,14400.84,16.00
12/14/2019 7:00:00 PM,12/14/2019 2:00:00 PM,12/14/2019 8:00:00 PM,12/14/2019 3:00:00 PM,12/15/2019 8:00:40 AM,AP,6017.00,6187.99,16.38
12/14/2019 7:00:00 PM,12/14/2019 2:00:00 PM,12/14/2019 8:00:00 PM,12/14/2019 3:00:00 PM,12/15/2019 8:00:40 AM,ATSI,7510.00,7549.31,16.32
12/14/2019 7:00:00 PM,12/14/2019 2:00:00 PM,12/14/2019 8:00:00 PM,12/14/2019 3:00:00 PM,12/15/2019 8:00:40 AM,ComEd,10496.00,10948.60,15.51
12/14/2019 7:00:00 PM,12/14/2019 2:00:00 PM,12/14/2019 8:00:00 PM,12/14/2019 3:00:00 PM,12/15/2019 8:00:40 AM,DEOK,2891.00,2919.45,16.26
12/14/2019 7:00:00 PM,12/14/2019 2:00:00 PM,12/14/2019 8:00:00 PM,12/14/2019 3:00:00 PM,12/15/2019 8:00:40 AM,Dayton,1842.00,1854.12,0.00
12/14/2019 7:00:00 PM,12/14/2019 2:00:00 PM,12/14/2019 8:00:00 PM,12/14/2019 3:00:00 PM,12/15/2019 8:00:40 AM,Dom,10722.00,10535.53,16.08
12/14/2019 7:00:00 PM,12/14/2019 2:00:00 PM,12/14/2019 8:00:00 PM,12/14/2019 3:00:00 PM,12/15/2019 8:00:40 AM,Duq,1477.00,1526.25,16.09
12/14/2019 7:00:00 PM,12/14/2019 2:00:00 PM,12/14/2019 8:00:00 PM,12/14/2019 3:00:00 PM,12/15/2019 8:00:40 AM,EKPC,1520.00,1600.38,16.23
12/14/2019 7:00:00 PM,12/14/2019 2:00:00 PM,12/14/2019 8:00:00 PM,12/14/2019 3:00:00 PM,12/15/2019 8:00:40 AM,MidAtl,29306.00,29448.79,15.69
12/14/2019 7:00:00 PM,12/14/2019 2:00:00 PM,12/14/2019 8:00:00 PM,12/14/2019 3:00:00 PM,12/15/2019 8:00:40 AM,MidAtl - East,,,15.78
12/14/2019 7:00:00 PM,12/14/2019 2:00:00 PM,12/14/2019 8:00:00 PM,12/14/2019 3:00:00 PM,12/15/2019 8:00:40 AM,MidAtl - West,,,15.58
12/14/2019 7:00:00 PM,12/14/2019 2:00:00 PM,12/14/2019 8:00:00 PM,12/14/2019 3:00:00 PM,12/15/2019 8:00:40 AM,OVEC,,,15.85
12/14/2019 6:00:00 PM,12/14/2019 1:00:00 PM,12/14/2019 7:00:00 PM,12/14/2019 2:00:00 PM,12/15/2019 8:00:40 AM,AEP,14227.00,14588.96,18.61
12/14/2019 6:00:00 PM,12/14/2019 1:00:00 PM,12/14/2019 7:00:00 PM,12/14/2019 2:00:00 PM,12/15/2019 8:00:40 AM,AP,6069.00,6342.80,18.61
12/14/2019 6:00:00 PM,12/14/2019 1:00:00 PM,12/14/2019 7:00:00 PM,12/14/2019 2:00:00 PM,12/15/2019 8:00:40 AM,ATSI,7571.00,7621.46,18.73
12/14/2019 6:00:00 PM,12/14/2019 1:00:00 PM,12/14/2019 7:00:00 PM,12/14/2019 2:00:00 PM,12/15/2019 8:00:40 AM,ComEd,10656.00,11092.36,18.04
12/14/2019 6:00:00 PM,12/14/2019 1:00:00 PM,12/14/2019 7:00:00 PM,12/14/2019 2:00:00 PM,12/15/2019 8:00:40 AM,DEOK,2934.00,2955.31,18.93
12/14/2019 6:00:00 PM,12/14/2019 1:00:00 PM,12/14/2019 7:00:00 PM,12/14/2019 2:00:00 PM,12/15/2019 8:00:40 AM,Dayton,1871.00,1862.92,0.00
